Metadata,,,,
Name,URL,Description,Cost,Details
ExifPurge,http://www.exifpurge.com/,EXIF Purge is a small portable application to remove EXIF metadata from multiple images at once. With the click of a button you can remove the camera, location and other technical information from a batch of photos which is embedded by the camera or the photo editing software.,Free,
Forensically,https://29a.ch/photo-forensics/#forensic-magnifier,A collection of web-based image forensics tools. Can identify fake or doctored images.,Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
FotoForensics,http://fotoforensics.com/,Image forensics tool.,Free,
InVID Verification Plugin,https://www.invid-project.eu/tools-and-services/invid-verification-plugin/,Verification plugin to help journalists verify images and videos.,Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
Irfanview,http://irfanview.com/,Windows-based software to extract metadata.,Free,
jhead,https://www.sentex.ca/~mwandel/jhead/,Remove EXIF/metadata.,Free,
Jimpl,https://jimpl.com/,Online EXIF data viewer,Free,
metadata2go,https://www.metadata2go.com/,Check metadata for both photos and videos online.,Free,
Reveal Image Verification Assistant,https://www.rand.org/research/projects/truth-decay/fighting-disinformation/search/items/reveal-image-verification-assistant.html,Forensic providing eight filters to detect still images alterations. "Web-based image tool. Also available within InVID verification plugin.",Free,
Splunk,http://blog.sweepatic.com/metadata-hackers-best-friend,Extract metadata. Report grade analysis and presentation. Not simple to setup and deploy.,Free,
