Telegram,,,,
Name,URL,Description,Cost,Details
Geogramint,https://github.com/Alb-310/Geogramint,Github - Find Telegram groups and users near a geographical location,Free,
Intelligence X Telegram Search,https://intelx.io/tools?tab=telegram,Google-based search engine for Telegram (includes Telegago),Free,
Open Measures,https://openmeasures.io/,Open Measures helps open source researchers investigate harmful online activity such as extremism and disinformation.,Partially Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
snscrape,https://github.com/JustAnotherArchivist/snscrape,Comand-line tool for scraping multiple social media platforms without using official API, especially Twitter and Telegram,Free,
Telegago,http://bit.ly/telegago,Telegago is a Google Custom Search Engine tailored for searching public Telegram content for OSINT purposes.,Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
Telegram Group Joiner,https://bellingcat.github.io/telegram-group-joiner/,Automate joining multiple Telegram groups and channels. Ideal for researchers who are interested in monitoring specific research topics on Telegram.,Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
Telegram Phone Number Checker,https://colab.research.google.com/github/bellingcat/open-source-research-notebooks/blob/main/notebooks/bellingcat/telegram-phone-number-checker.ipynb,Command line tool for checking if phone numbers are connected to Telegram accounts and retrieving related information where available.,Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
TelegramDB,https://telegramdb.org,TelegramDB is a searchable database service for exploring public Telegram groups and channels via a dedicated bot.,Partially Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
Telemetr.io,http://telemetr.io/,Telegram channel analytics,Free,
Telepathy,https://github.com/jordanwildon/Telepathy,Telepathy is a versatile Telegram toolkit for OSINT analysts, enabling chat archiving, memberlist gathering, user location lookup, top poster analysis, message mapping, and more.,Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
TGStat,https://tgstat.com/,TGStat is a web-based analytics tool for Telegram that monitors active channels and provides profile analytics and statistics. It tracks channel subscribers’ growth rate, reach, and citation index.,Partially Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
tlgrm.eu channels,http://tlgrm.eu/channels,Search Telegram channels.,Free,
