Websites,,,,
Name,URL,Description,Cost,Details
DNS Cyrillic Check,https://holdintegrity.com/checker,Check if malicious or Cyrillic domains are registered,Free, 
DNS History,http://completedns.com/,Collection of historical DNS information.,Free,
DomainTools Whois Lookup,https://whois.domaintools.com/,DomainTools Whois provides detailed domain name registration information, and can be used to investigate details about domains or IP addresses.,Partially Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
Geo IP Tools,http://geoiptool.com/,Check your own IP, handy to check if your VPN is working.,Free, 
Intelx.io,http://intelx.io/,Find user details in data breaches,Partially Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
Wayback Machine,https://web.archive.org/,The Wayback Machine's Internet Archive lets users view and archive web pages, aiding in historical research and digital preservation.,Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
Moz Link Explorer,http://moz.com/link-explorer,Analyse the links of any website.,Free, 
Shodan,https://www.shodan.io/,Internet of things search engine.,Partially Free,
SpyOnWeb,http://spyonweb.com/,Find out related websites via their tracking code.,Free, 
Vortimo,https://www.vortimo.com/,Suite of tools for website, email, WHOIS, etc. analysis,Paid, 
Whatcms.org,http://whatcms.org/,What content-management system is this website using?,Free, 
WHOIS History,https://whois-history.whoisxmlapi.com/,Historical WHOIS registration lookup,Partially,last 3 records per site are free
